Match_Date,Match_Format,Opponent,Winner,Margin,Ground,Year,Gender,Toss_Winner,Toss_Decision,Player_of_Match,Event_Name
6/27/2002,ODI,England,Opponent,44 runs,"Trent Bridge, Nottingham",2002,male,England,bat,A Flintoff,NatWest Series
1/9/2003,ODI,Australia,Sri Lanka,79 runs,Sydney Cricket Ground,2003,male,Australia,field,ST Jayasuriya,VB Series
1/13/2003,ODI,England,Sri Lanka,31 runs,Sydney Cricket Ground,2003,male,Sri Lanka,bat,ST Jayasuriya,VB Series
1/15/2003,ODI,Australia,Opponent,4 wickets,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2003,male,Sri Lanka,bat,MG Bevan,VB Series
1/17/2003,ODI,England,Opponent,19 runs,Adelaide Oval,2003,male,England,bat,AR Caddick,VB Series
1/21/2003,ODI,Australia,Opponent,9 wickets,Melbourne Cricket Ground,2003,male,Sri Lanka,bat,RT Ponting,VB Series
2/10/2003,ODI,New Zealand,Sri Lanka,47 runs,"Goodyear Park, Bloemfontein",2003,male,New Zealand,field,ST Jayasuriya,ICC Cricket World Cup
2/19/2003,ODI,Canada,Sri Lanka,9 wickets,"Boland Bank Park, Paarl",2003,male,Sri Lanka,field,RAP Nissanka,ICC Cricket World Cup
2/24/2003,ODI,Kenya,Opponent,53 runs,"Gymkhana Club Ground, Nairobi",2003,male,Sri Lanka,field,CO Obuya,ICC Cricket World Cup
2/28/2003,ODI,West Indies,Sri Lanka,6 runs,"Newlands, Cape Town",2003,male,Sri Lanka,bat,WPUJC Vaas,ICC Cricket World Cup
3/3/2003,ODI,South Africa,Tie,,"Kingsmead, Durban",2003,male,Sri Lanka,bat,MS Atapattu,ICC Cricket World Cup
3/7/2003,ODI,Australia,Opponent,96 runs,"SuperSport Park, Centurion",2003,male,Australia,bat,RT Ponting,ICC Cricket World Cup
3/10/2003,ODI,India,Opponent,183 runs,"New Wanderers Stadium, Johannesburg",2003,male,Sri Lanka,field,J Srinath,ICC Cricket World Cup
3/15/2003,ODI,Zimbabwe,Sri Lanka,74 runs,"Buffalo Park, East London",2003,male,Sri Lanka,bat,MS Atapattu,ICC Cricket World Cup
3/18/2003,ODI,Australia,Opponent,48 runs,"St George's Park, Port Elizabeth",2003,male,Australia,bat,A Symonds,ICC Cricket World Cup
4/4/2003,ODI,Pakistan,Opponent,7 wickets,Sharjah Cricket Association Stadium,2003,male,Sri Lanka,bat,KC Sangakkara,Cherry Blossom Sharjah Cup
4/6/2003,ODI,Kenya,Sri Lanka,129 runs,Sharjah Cricket Association Stadium,2003,male,Sri Lanka,bat,KC Sangakkara,Cherry Blossom Sharjah Cup
4/7/2003,ODI,Zimbabwe,Opponent,4 wickets,Sharjah Cricket Association Stadium,2003,male,Sri Lanka,bat,GW Flower,Cherry Blossom Sharjah Cup
5/10/2003,ODI,Pakistan,Opponent,79 runs,Rangiri Dambulla International Stadium,2003,male,Sri Lanka,field,Mohammad Hafeez,Bank Alfalah Cup
5/19/2003,ODI,New Zealand,Opponent,9 runs,Rangiri Dambulla International Stadium,2003,male,Sri Lanka,field,DL Vettori,Bank Alfalah Cup
6/7/2003,ODI,West Indies,Sri Lanka,55 runs,"Kensington Oval, Bridgetown, Barbados",2003,male,West Indies,field,M Muralitharan,Sri Lanka tour of West Indies
6/11/2003,ODI,West Indies,Opponent,6 wickets,"Arnos Vale Ground, Kingstown, St Vincent",2003,male,West Indies,field,MN Samuels,Sri Lanka tour of West Indies
11/18/2003,ODI,England,Sri Lanka,10 wickets,Rangiri Dambulla International Stadium,2003,male,England,bat,WPUJC Vaas,England tour of Sri Lanka
12/18/2003,Test,England,Sri Lanka,215 runs,"Sinhalese Sports Club Ground, Colombo",2003,male,England,bat,TT Samaraweera,England tour of Sri Lanka
2/20/2004,ODI,Australia,Opponent,84 runs,Rangiri Dambulla International Stadium,2004,male,Australia,bat,GB Hogg,Australia tour of Sri Lanka
2/22/2004,ODI,Australia,Sri Lanka,1 runs,Rangiri Dambulla International Stadium,2004,male,Sri Lanka,bat,WPUJC Vaas,Australia tour of Sri Lanka
2/27/2004,ODI,Australia,Opponent,40 runs,R.Premadasa Stadium,2004,male,Australia,bat,MS Kasprowicz,Australia tour of Sri Lanka
3/8/2004,Test,Australia,Opponent,197 runs,Galle International Stadium,2004,male,Australia,bat,ML Hayden,Australia tour of Sri Lanka
4/20/2004,ODI,Zimbabwe,Sri Lanka,12 runs,Queens Sports Club,2004,male,Sri Lanka,field,T Taibu,Sri Lanka tour of Zimbabwe
4/27/2004,ODI,Zimbabwe,Sri Lanka,72 runs,Harare Sports Club,2004,male,Zimbabwe,field,UDU Chandana,Sri Lanka tour of Zimbabwe
7/21/2004,ODI,Pakistan,Sri Lanka,7 wickets,R.Premadasa Stadium,2004,male,Pakistan,bat,DNT Zoysa,Mens ODI Asia Cup
7/23/2004,ODI,Bangladesh,Sri Lanka,10 wickets,R.Premadasa Stadium,2004,male,Bangladesh,bat,ST Jayasuriya,Mens ODI Asia Cup
